ubigeo,distrito,departamen,poblacion,ipress_per_10k,atenciones_per_10k,dist_mediana_km,pct_ccpp_10km,indice_baseline,quintil_baseline,etiqueta_baseline,indice_alternativo,quintil_alternativo,etiqueta_alternativo,cambio_quintil,cambio_abs
021408,SAN CRISTOBAL DE RAJAN,ANCASH,639.0,15.6495,0.0,29.567,0.0,0.5058,3,Medium,0.4845,3,Medium,0.0,0.0
190207,TAPUC,PASCO,4533.0,6.6181,0.0,10.367,41.51,0.4977,3,Medium,0.4929,3,Medium,0.0,0.0
190106,PALLANCHACRA,PASCO,5040.0,13.8889,0.0,12.201,39.62,0.5936,4,High,0.6016,4,High,0.0,0.0
190205,SAN PEDRO DE PILLAO,PASCO,1883.0,10.6213,0.0,8.181,75.36,0.5939,4,High,0.601,4,High,0.0,0.0
021410,SANTIAGO DE CHILCAS,ANCASH,383.0,26.1097,0.0,32.956,0.0,0.5311,4,High,0.5238,4,High,0.0,0.0
150301,CAJATAMBO,LIMA,2260.0,8.8496,0.0,41.468,0.0,0.388,2,Low,0.4059,2,Low,0.0,0.0
061101,SAN MIGUEL,CAJAMARCA,15894.0,5.0333,179.3129,7.388,69.23,0.6306,4,High,0.6236,4,High,0.0,0.0
131005,MOLLEPATA,LA LIBERTAD,2682.0,7.4571,0.0,38.076,0.0,0.3719,2,Low,0.3808,2,Low,0.0,0.0
020601,CARHUAZ,ANCASH,15712.0,5.0916,8756.3646,5.056,98.76,0.7089,5,Very high,0.7096,5,Very high,0.0,0.0
220201,BELLAVISTA,SAN MARTIN,13643.0,10.9946,15454.079,4.832,72.73,0.8367,5,Very high,0.7979,5,Very high,0.0,0.0
061108,NANCHOC,CAJAMARCA,1550.0,6.4516,0.0,34.876,0.0,0.3536,1,Very low,0.3545,1,Very low,0.0,0.0
220701,PICOTA,SAN MARTIN,8314.0,8.4195,1621.3616,3.082,100.0,0.7903,5,Very high,0.7903,5,Very high,0.0,0.0
180211,YUNGA,MOQUEGUA,2514.0,3.9777,0.0,80.928,0.0,0.2172,1,Very low,0.2868,1,Very low,0.0,0.0
060101,CAJAMARCA,CAJAMARCA,251097.0,6.5712,3422.6215,1.798,98.0,0.7749,5,Very high,0.7324,5,Very high,0.0,0.0
060306,JOSE GALVEZ,CAJAMARCA,2497.0,8.0096,0.0,3.717,100.0,0.6095,4,High,0.6166,4,High,0.0,0.0
021702,CATAC,ANCASH,4038.0,2.4765,0.0,14.839,16.06,0.3471,1,Very low,0.3526,1,Very low,0.0,0.0
040125,VITOR,AREQUIPA,2267.0,13.2333,0.0,31.658,0.0,0.4757,3,Medium,0.4631,3,Medium,0.0,0.0
101107,PAMPAMARCA,HUANUCO,2039.0,4.9044,0.0,32.449,0.0,0.3217,1,Very low,0.3128,1,Very low,0.0,0.0
040120,SANTA ISABEL DE SIGUAS,AREQUIPA,1273.0,23.5664,0.0,14.718,17.95,0.6199,4,High,0.6265,4,High,0.0,0.0
